name,market,funding_total_usd,status,country_code,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,private_equity
#waywire,News,1750000,acquired,USA,2012,1750000,0,0,0,0,0,0
'Rock' Your Paper,Publishing,40000,operating,EST,2012,40000,0,0,0,0,0,0
(In)Touch Network,Electronics,1500000,operating,GBR,2011,1500000,0,0,0,0,0,0
-R- Ranch and Mine,Tourism,60000,operating,USA,2014,0,0,60000,0,0,0,0
004 Technologies,Software,0,operating,USA,2010,0,0,0,0,0,0,0
"1,2,3 Listo",E-Commerce,40000,operating,CHL,2012,40000,0,0,0,0,0,0
1-800-DENTIST,Health and Wellness,0,operating,USA,1986,0,0,0,0,0,0,0
1-800-DOCTORS,Health and Wellness,1750000,operating,USA,1984,0,0,0,0,1750000,0,0
1.618 Technology,Real Estate,0,operating,USA,2013,0,0,0,0,0,0,0
10 Minutes With,Education,4400000,operating,GBR,2013,400000,4000000,0,0,0,0,0
10-20 Media,E-Commerce,2050000,operating,USA,2001,0,0,0,0,0,2050000,0
1000 Corks,Search,40000,operating,USA,2008,40000,0,0,0,0,0,0
1000memories,Curated Web,2535000,acquired,USA,2010,15000,2520000,0,0,0,0,0
1000museums.com,Curated Web,4962651,operating,USA,2008,0,3814772,0,0,0,1147879,0
1001 Menus,Restaurants,4059079,operating,FRA,2010,522169,3536910,0,0,0,0,0
1006.tv,Media,10000000,operating,CHN,2009,0,10000000,0,0,0,0,0
100health,Health Care Information Technology,420000,operating,USA,2014,420000,0,0,0,0,0,0
100Plus,Analytics,1250000,acquired,USA,2011,750000,500000,0,0,0,0,0
1010data,Software,35000000,operating,USA,2000,0,35000000,0,0,0,0,0
10АNorth,Fashion,0,operating,CAN,2014,0,0,0,0,0,0,0
10BestThings,Curated Web,50000,closed,USA,2009,50000,0,0,0,0,0,0
10seconds Software,Mobility,0,operating,AUS,2009,0,0,0,0,0,0,0
10X Technologies,Biotechnology,3000000,operating,USA,2012,0,0,0,0,0,3000000,0
10X10 Room,Software,77500,operating,USA,2010,0,0,0,0,0,77500,0
117go,Social Travel,20000000,operating,CHN,2011,0,20000000,0,0,0,0,0
